node_id, twitternum, twitterhandle, trumporhillary, lastlocation, pagerank, numtweets
0, 3239288246, roninmemes, 0, None, 0.000250408249766, 12.0
1, 770927642514067456, matthewgone, 7, None, 2.82321039196e-05, 1.0
2, 719085745777065984, kimjongundress, 0, None, 1.95615055771e-05, 1.0
3, 718534846490869762, altrightwojack, 0, None, 8.0365246758e-06, 1.0
4, 4248833539, jaredtswift, 0, None, 8.6124637939e-05, 2.0
5, 769717553337921540, pizzarollpatrol, 7, None, 1.16565097614e-05, 2.0
6, 714672556029132800, librajustice22, 0, None, 4.3784371663e-06, 7.0
7, 702501420906500097, ragnarl0dbrok, 0, None, 2.1748782869e-05, 1.0
8, 4825921032, mayajoh54770163, 0, None, 1.52371082711e-05, 2.0
9, 582158348, ulfric74, 0, None, 4.18138343475e-06, 3.0
10, 766043421299576834, realfredstone, 7, None, 2.28598105567e-05, 1.0
11, 2944899765, b00nacirema, 7, Texas, 2.09861234725e-05, 1.0
12, 4351505429, thors_disciple, 7, None, 3.10678086028e-05, 2.0
13, 1178043908, thegreatpumba1, 0, None, 4.312924243e-05, 3.0
14, 3042356250, infinite1488, 0, New York, 1.88903939972e-05, 3.0
15, 729452939241099264, 1488richard, 7, None, 2.67259692978e-05, 2.0
16, 1038459420, haroldcrews, 0, North Carolina, 1.3518388442e-05, 1.0
17, 3385176093, __djwilson, 0, Florida, 1.61325801982e-05, 12.0
18, 711739240791609344, ultra_victoria, 0, None, 3.37720626358e-05, 7.0
19, 701791937372823553, gunther_tn, 3, None, 3.98380791982e-06, 8.0
20, 4046848545, augustus1683ad, 0, Idaho, 8.22500798184e-06, 11.0
21, 754065773774143489, unca_laguna, 7, Florida, 5.38876162367e-06, 5.0
22, 768694310, formyfolk, 0, None, 1.52902653556e-05, 3.0
23, 722554126203101184, charliedmartel, 3, None, 6.22366200821e-06, 13.0
24, 24470535, dtb122, 0, Massachusetts, 1.70661203488e-05, 12.0
25, 2263264302, akaspb, 0, None, 4.26602346859e-05, 3.0
26, 344068445, janipc, 0, None, 2.5095583506e-06, 1.0
27, 58661424, duckspeakeasy, 0, None, 4.19646525244e-05, 1.0
28, 455044657, enochblackwater, 0, None, 4.57613635733e-06, 1.0
29, 701817828249378816, kpackann, 0, None, 2.13690190793e-05, 1.0
30, 4838523956, dreadcrash, 0, None, 3.67615624662e-05, 21.0
31, 4306713141, samfranfan, 4, None, 4.56797574356e-06, 28.0
32, 197610038, carlton4trump, 4, Georgia, 1.68575410267e-05, 2.0
33, 2402444346, princekalama, 0, Hawaii, 3.84905149369e-06, 1.0
34, 2864075323, shitbiscuit, 0, None, 7.27164811586e-05, 1.0
35, 600781884, slane420, 0, None, 2.62184563213e-05, 1.0
36, 3412146239, jasper_quasar, 0, None, 4.00875532259e-05, 1.0
37, 702555024144990208, bloodywogs, 0, Nevada, 1.1184356966e-05, 17.0
38, 4052620285, giloteen, 0, None, 1.26890714371e-05, 7.0
39, 4228642894, katscully1, 0, New York, 1.94340024868e-05, 6.0
40, 758462545, hcplb, 0, None, 2.00044031924e-05, 1.0
41, 39623253, emorymyers, 0, None, 9.5035032551e-06, 7.0
42, 344445016, pwnz0r3d, 7, Colorado, 1.12445799485e-05, 4.0
43, 741010040933355521, tiny_bitler, 7, None, 1.54715035462e-05, 3.0
44, 3875947098, grootstok, 0, None, 2.54952185128e-05, 7.0
45, 3421271134, absurdnihilism, 7, None, 2.46871294892e-05, 1.0
46, 3335709279, atlanticcent, 0, None, 6.78048840022e-05, 14.0
47, 702227337077776384, the_rebbe_, 0, None, 4.37064135006e-05, 8.0
48, 3852028514, txaltreich, 0, Texas, 4.02640156496e-05, 2.0
49, 3772525155, culturalcombat, 7, None, 4.62133771333e-05, 2.0
50, 706632152922898433, cuckshamer, 0, None, 1.64617059846e-05, 5.0
51, 44080230, rlt64, 3, None, 2.5095583506e-06, 6.0
52, 703640191127330816, smorglesbord, 0, None, 7.32536236074e-06, 1.0
53, 49122922, mike121948, 0, Connecticut, 1.62750371787e-05, 11.0
54, 249419374, jtlowe83, 0, Rhode Island, 1.34423319465e-05, 1.0
55, 3680101999, rwds1488, 0, None, 7.5329312718e-06, 1.0
56, 378241649, jarsthemule, 0, None, 6.95897988297e-06, 57.0
57, 2612954227, lolatsafespaces, 0, None, 4.2549104529e-06, 1.0
58, 712182263451099136, peanutarbuckle, 0, None, 4.27597355263e-06, 1.0
59, 730254009886380033, based_goy, 7, None, 3.18974134863e-05, 1.0
60, 750422736867102720, brexitwanker, 7, None, 9.388594847e-06, 17.0
61, 748046646492172288, alamann7, 7, None, 3.5894397612e-05, 16.0
62, 3001887359, bartowcapital, 0, Florida, 7.48933811042e-06, 1.0
63, 21398656, aeonicsonic, 0, None, 2.95247172298e-05, 8.0
64, 22040193, belladashwood, 0, None, 5.6542307643e-05, 1.0
65, 3076201091, realatheistgop, 0, None, 5.24209051296e-05, 4.0
66, 759731721734492160, trigglypuffster, 7, None, 4.1537944055e-06, 1.0
67, 3634721415, amerikosy, 0, None, 2.05336903254e-05, 4.0
68, 4819947663, 888didntreadshi, 0, None, 1.97571552319e-05, 8.0
69, 600614936, djtwmar, 0, None, 2.98562493352e-05, 1.0
70, 1604622487, gotohellfeds, 0, None, 1.97869772202e-05, 1.0
71, 3517913240, thespianorion, 0, None, 6.89299342262e-06, 2.0
72, 1226167963, battlebeagle, 0, None, 5.75867452523e-05, 3.0
73, 14969501, einexile, 0, New York, 5.96756058531e-06, 3.0
74, 747532059812499456, privilegedman, 2, None, 2.76399627341e-05, 6.0
75, 2835475103, filthy_degen, 3, None, 1.28116527047e-05, 1.0
76, 737493002524856321, duke_sedan, 2, None, 5.84209817229e-06, 1.0
77, 4795838269, crashndaplane, 0, None, 7.44548561335e-05, 1.0
78, 3394104999, kurisu_kitsune, 0, None, 3.76839894095e-05, 9.0
79, 716296309305528320, oldpeople7, 3, None, 1.56399845635e-05, 5.0
80, 2931510530, mjarcher77, 7, None, 4.65424619018e-05, 7.0
81, 909145771, shannonaltman, 3, None, 4.18312268266e-05, 5.0
82, 80800433, delixcroix, 0, None, 5.27763431089e-06, 1.0
83, 733060705960747008, ottotheterrible, 7, New Jersey, 4.06266304473e-05, 2.0
84, 4790357779, vaped_taylor, 0, None, 3.49892193362e-05, 4.0
85, 742484295240044545, nationalistprof, 7, None, 4.61714212453e-05, 1.0
86, 787986620, unowen7, 0, None, 5.0249850876e-06, 1.0
87, 700861286616158210, cuckfinder, 3, None, 3.32094598878e-05, 1.0
88, 2283043525, mtraniulderini, 7, None, 3.28951711319e-06, 3.0
89, 4727900659, ausaesthetics, 0, None, 3.69273251875e-05, 1.0
90, 3304835283, mundilfury, 0, None, 3.70260559856e-05, 8.0
91, 435625172, city_of_fear, 0, Florida, 1.28099698365e-05, 1.0
92, 706734903824670720, philodendron43, 0, Texas, 1.21980761491e-05, 7.0
93, 2339290328, gorisensei74, 7, None, 4.46081082546e-06, 1.0
94, 2307173082, kodssb, 7, None, 5.04416808717e-06, 4.0
95, 740162910068973569, fashy_naruto, 7, None, 2.14146495495e-05, 2.0
96, 714492575030370304, georgiasfirst, 0, None, 5.06647096339e-05, 2.0
97, 710860771937427456, bmarchant3, 0, None, 3.03401916358e-05, 3.0
98, 4853913320, southernlazarus, 4, None, 7.91205227535e-06, 1.0
99, 3376912617, hateful_honky, 7, None, 4.72432841029e-06, 1.0
100, 3337517811, frauleinforevs, 0, None, 5.30377052215e-06, 1.0
101, 2933840119, james_mainevent, 0, None, 2.02627406782e-05, 9.0
102, 161978104, specialfester, 7, None, 3.9320176117e-05, 1.0
103, 2901907193, jaylxxxviii, 0, None, 1.50687996329e-05, 2.0
104, 3268217642, j_speedway, 0, None, 2.05752800608e-05, 2.0
105, 354665216, burchardofen, 0, None, 4.87509662564e-05, 5.0
106, 3976085120, sstreichers, 0, None, 4.62879113297e-06, 2.0
107, 3003908866, wasteme__, 0, None, 1.86891258349e-05, 3.0
108, 4150125618, dump_the_trump, 3, None, 1.56385077989e-05, 5.0
109, 709190330382360576, snowscape15, 3, None, 1.19554920712e-05, 13.0
110, 4836121729, theerectus, 0, Missouri, 1.78609429663e-05, 3.0
111, 3188853513, male_goddess, 0, None, 2.29522338807e-05, 1.0
112, 736666871609626625, robsiegf, 7, None, 1.3313539286e-05, 2.0
113, 29593358, shadowmud, 7, None, 1.444434193e-05, 3.0
114, 768275635340881921, abr_rico, 7, None, 9.6482960238e-06, 1.0
115, 116517137, rmhaines, 0, Michigan, 8.70657331065e-06, 2.0
116, 704427759804624896, misruption_org, 0, None, 1.2097431863e-05, 4.0
117, 236277012, sorrytoohigh, 0, California, 7.33791065559e-06, 1.0
118, 709396103091888129, trumpteeshop, 3, None, 1.98745178056e-05, 1.0
119, 713416826647027713, cult_of_pupinia, 0, None, 5.18659419079e-05, 1.0
120, 754591113877389312, aruji_dono, 7, None, 4.87338210472e-05, 1.0
121, 740684420030599169, natinalistreviw, 7, Washington DC, 1.08702673337e-05, 2.0
122, 710457041249247233, realtedzodiac, 0, None, 2.40017334883e-05, 7.0
123, 3295845674, sparkwiggles, 0, None, 1.95933451348e-05, 2.0
124, 1286211373, whitennotguilty, 0, None, 7.61155306339e-06, 3.0
125, 713779197341147136, dontaxmedat, 0, None, 1.52616244812e-05, 2.0
126, 22774065, articflag, 0, Kentucky, 2.5095583506e-06, 3.0
127, 2671293738, flexxyourmind, 3, Michigan, 2.54012153434e-05, 1.0
128, 3317485880, yespasaran_, 7, None, 1.82363938866e-05, 1.0
129, 3246983483, whitetradition, 0, Pennsylvania, 3.16772789987e-05, 2.0
130, 4345685308, politicccs, 0, None, 2.85013452253e-05, 8.0
131, 761656251885428737, kultahippuusa, 7, None, 2.5095583506e-06, 1.0
132, 727416818046894080, lockejohn_, 0, None, 2.53492298515e-05, 15.0
133, 2381334848, eaglestrikesbak, 0, None, 1.7289877817e-05, 1.0
134, 2978014531, innominatesterd, 3, None, 2.5095583506e-06, 2.0
135, 727894575293988864, mtsisyphus, 7, None, 9.90777383044e-06, 1.0
